Date,Open,High,Low,Close,Volume
2022-01-03,147.20,147.59,146.58,147.24,4531914
2022-01-04,151.20,152.00,150.95,151.38,5906271
2022-01-05,153.38,153.89,152.50,153.53,2789887
2022-01-06,150.74,150.87,149.38,150.79,6849429
2022-01-07,145.62,146.18,145.29,145.90,4751564
2022-01-10,145.49,146.97,144.89,145.54,3162958
2022-01-11,144.23,145.39,143.77,144.28,3750278
2022-01-12,149.20,150.59,148.57,149.27,3180191
2022-01-13,147.03,148.21,147.05,147.25,3119362
2022-01-14,149.96,150.60,148.96,149.98,5234460
2022-01-17,149.56,150.43,149.03,149.69,6192151
2022-01-18,146.69,147.11,145.67,146.77,2659100
2022-01-19,146.99,148.67,145.88,147.25,6301976
2022-01-20,145.93,146.12,145.62,146.09,3787444
2022-01-21,142.54,143.78,142.35,142.73,6782171
2022-01-24,137.76,138.53,137.80,137.93,6952824
2022-01-25,139.86,140.68,139.85,140.02,5966070
2022-01-26,139.97,140.19,138.99,139.98,5488575
2022-01-27,141.45,142.69,141.27,141.51,2187007
2022-01-28,146.75,148.13,145.67,146.91,2728030
2022-01-31,149.69,150.50,149.68,149.77,3778313
2022-02-01,148.35,148.79,148.34,148.59,2004522
2022-02-02,150.63,150.91,150.03,150.75,4073323
2022-02-03,150.99,152.24,150.61,151.12,6651384
2022-02-04,149.76,150.38,149.72,149.84,6405371
2022-02-07,155.01,155.54,155.02,155.07,5001950
2022-02-08,152.54,154.09,151.90,152.71,4107788
2022-02-09,156.86,157.85,155.65,157.07,5389553
2022-02-10,160.11,161.06,159.60,160.40,5513910
2022-02-11,161.90,163.69,161.05,162.08,6147526
2022-02-14,164.97,166.20,164.21,165.29,3957068
2022-02-15,165.62,166.52,164.32,165.78,5609203
2022-02-16,161.03,162.78,160.12,161.18,2770597
2022-02-17,162.37,163.29,161.92,162.43,2107917
2022-02-18,161.70,162.34,161.41,161.71,5287830
2022-02-21,161.38,162.94,160.51,161.48,3977001
2022-02-22,162.16,162.95,160.82,162.27,4842099
2022-02-23,165.35,165.93,164.85,165.51,4549789
2022-02-24,169.68,170.96,168.93,169.70,4766739
2022-02-25,170.68,171.20,170.15,170.82,2159615
2022-02-28,169.80,170.14,169.18,170.09,3395083
2022-03-01,170.39,171.48,170.25,170.64,5139810
2022-03-02,171.93,173.68,170.68,172.06,4060463
2022-03-03,173.67,174.97,172.69,173.72,6823709
2022-03-04,170.83,171.21,169.36,170.94,5096214
2022-03-07,170.39,171.48,170.26,170.48,5544645
2022-03-08,169.81,170.49,168.98,169.92,4835669
2022-03-09,165.16,166.67,164.57,165.44,4635952
2022-03-10,163.39,163.65,162.80,163.42,6612161
2022-03-11,165.19,166.77,164.61,165.34,2430962
2022-03-14,164.56,165.04,164.56,164.64,3759023
2022-03-15,168.46,169.77,167.83,168.74,2263010
2022-03-16,170.61,171.31,170.36,170.78,4609589
2022-03-17,171.31,172.64,170.67,171.51,2465427
2022-03-18,159.18,159.33,158.33,159.32,2497192
2022-03-21,157.22,158.41,155.84,157.35,6371549
2022-03-22,162.20,164.09,161.10,162.48,5755165
2022-03-23,165.04,165.56,164.03,165.05,2314707
2022-03-24,163.17,164.81,162.29,163.26,2716842
2022-03-25,162.68,163.08,162.48,162.68,3628236
2022-03-28,162.30,163.33,161.61,162.47,6715556
2022-03-29,158.86,159.11,158.65,158.88,3645468
2022-03-30,156.25,156.93,155.80,156.29,6084640
2022-03-31,152.78,154.08,152.51,153.05,5699738
2022-04-01,152.85,153.48,152.15,153.09,4157428
2022-04-04,155.27,156.08,154.65,155.30,3124378
2022-04-05,154.65,155.84,154.56,154.72,4267253
2022-04-06,156.44,157.01,156.57,156.57,4252722
2022-04-07,155.71,156.50,155.03,155.72,4747449
2022-04-08,157.36,158.60,156.29,157.49,2418102
2022-04-11,157.47,158.13,157.29,157.77,3931348
2022-04-12,157.12,158.05,156.79,157.40,5953853
2022-04-13,158.71,159.83,158.35,158.90,5152284
2022-04-14,153.26,153.51,152.57,153.37,3193308
2022-04-15,161.87,162.47,161.68,162.07,6743591
2022-04-18,161.13,161.97,159.98,161.33,2469800
2022-04-19,166.63,168.33,165.79,166.88,2038601
2022-04-20,170.15,171.95,170.22,170.25,2116662
2022-04-21,165.54,165.94,165.32,165.74,4370649
2022-04-22,159.66,160.57,158.54,159.67,5467228
2022-04-25,159.16,160.50,158.32,159.44,2073066
2022-04-26,156.85,158.20,156.09,157.01,5854831
2022-04-27,157.53,157.88,156.54,157.60,3479188
2022-04-28,156.57,157.08,156.20,156.69,6612804
2022-04-29,157.51,158.10,156.30,157.61,6922346
2022-05-02,158.07,159.29,157.29,158.18,6074481
2022-05-03,157.17,158.61,156.11,157.43,5735875
2022-05-04,155.56,156.79,154.03,155.57,2573195
2022-05-05,152.48,152.83,152.05,152.60,3253107
2022-05-06,154.81,155.11,154.43,154.85,4442279
2022-05-09,157.76,158.25,157.86,157.97,2807377
2022-05-10,153.00,153.89,152.99,153.11,5015067
2022-05-11,154.51,155.41,153.66,154.64,2732017
2022-05-12,153.50,154.32,153.48,153.58,2624892
2022-05-13,152.19,153.45,151.16,152.25,6360360
